standard,208,20,188,61,93,83,17,3
standard,208,41,167,61,79,71,9,2
standard,208,62,146,61,78,83,7,2
standard,208,83,125,61,63,66,5,2
standard,208,104,104,61,58,62,4,1
standard,208,124,84,61,43,49,5,1
standard,208,145,63,61,39,35,7,1
standard,208,166,42,61,19,28,8,1
standard,208,187,21,61,9,8,9,1
cross,208,20,188,61,84,81,1,9
cross,208,41,167,61,96,101,2,11
cross,208,62,146,61,58,70,4,14
cross,208,83,125,61,68,74,4,10
cross,208,104,104,61,54,50,3,11
cross,208,124,84,61,46,43,4,13
cross,208,145,63,61,35,33,4,11
cross,208,166,42,61,25,16,4,12
cross,208,187,21,61,12,8,5,12
compare,208,20,188,61,96,100,188,5,399,2450
compare,208,41,167,61,92,100,167,4,111,2175
compare,208,62,146,61,82,83,146,6,107,1895
compare,208,83,125,61,67,60,125,4,89,1618
compare,208,104,104,61,49,47,104,3,71,1357
compare,208,124,84,61,36,41,84,2,57,1096
compare,208,145,63,61,37,33,63,2,31,827
compare,208,166,42,61,21,28,42,1,30,544
compare,208,187,21,61,9,10,21,0,15,275
