standard,351,35,316,34,116,131,14,4
standard,351,70,281,34,144,154,8,3
standard,351,105,246,34,147,147,7,3
standard,351,140,211,34,91,137,8,2
standard,351,175,176,34,71,94,7,3
standard,351,210,141,34,68,72,7,1
standard,351,245,106,34,52,56,7,1
standard,351,280,71,34,32,37,7,1
standard,351,315,36,34,21,20,8,1
cross,351,35,316,34,114,94,1,10
cross,351,70,281,34,191,161,11,11
cross,351,105,246,34,113,107,2,8
cross,351,140,211,34,103,131,3,9
cross,351,175,176,34,91,61,3,11
cross,351,210,141,34,65,91,6,11
cross,351,245,106,34,61,65,3,10
cross,351,280,71,34,45,43,4,10
cross,351,315,36,34,19,20,4,14
compare,351,35,316,34,157,115,316,4,353,1326
compare,351,70,281,34,126,107,281,4,107,1149
compare,351,105,246,34,154,171,246,3,96,998
compare,351,140,211,34,121,117,211,3,82,858
compare,351,175,176,34,114,100,176,2,78,717
compare,351,210,141,34,82,90,141,1,56,577
compare,351,245,106,34,73,72,106,2,38,430
compare,351,280,71,34,43,45,71,1,28,297
compare,351,315,36,34,17,19,36,1,14,149
